Group	Bird ID	Grid Section	Number of Pecks
Wall	384	54	2
Wall	384	55	0
Wall	384	56	0
Wall	384	57	0
Wall	384	58	2
Wall	384	59	1
Wall	384	60	0
Wall	384	61	0
Wall	384	62	0
Wall	384	63	0
Wall	384	64	8
Wall	384	65	0
Wall	384	66	0
Wall	384	67	2
Wall	384	68	10
Wall	384	69	1
Wall	384	70	0
Wall	384	71	0
Wall	384	72	0
Wall	384	73	3
Wall	384	74	19
Wall	384	75	3
Wall	384	76	1
Wall	384	77	3
Wall	384	78	12
Wall	384	79	10
Wall	384	80	0
Wall	384	81	0
Wall	384	82	2
Wall	384	83	4
Wall	384	84	7
Wall	384	85	0
Wall	384	86	0
Wall	384	87	0
Wall	384	88	0
Wall	384	89	2
Wall	384	90	0
Wall	384	91	0
Wall	384	92	0
Wall	384	93	0
Wall	384	94	0
Wall	384	95	0
Wall	384	96	0
Wall	384	97	0
Wall	384	98	0
Wall	384	99	0
Wall	384	100	0
Wall	411	1	0
Wall	411	2	0
Wall	411	3	0
Wall	411	4	0
Wall	411	5	0
Wall	411	6	0
Wall	411	7	0
Wall	411	8	0
Wall	411	9	0
Wall	411	10	0
Wall	411	11	0
Wall	411	12	0
Wall	411	13	5
Wall	411	14	5
Wall	411	15	1
Wall	411	16	0
Wall	411	17	0
Wall	411	18	0
Wall	411	19	0
Wall	411	20	0
Wall	411	21	0
Wall	411	22	4
Wall	411	23	17
Wall	411	24	15
Wall	411	25	8
Wall	411	26	2
Wall	411	27	0
Wall	411	28	0
Wall	411	29	1
Wall	411	30	0
Wall	411	31	0
Wall	411	32	3
Wall	411	33	6
Wall	411	34	7
Wall	411	35	6
Wall	411	36	1
Wall	411	37	1
Wall	411	38	2
Wall	411	39	0
Wall	411	40	0
Wall	411	41	0
Wall	411	42	1
Wall	411	43	8
Wall	411	44	3
Wall	411	45	0
Wall	411	46	0
Wall	411	47	6
Wall	411	48	1
Wall	411	49	0
Wall	411	50	0
Wall	411	51	0
Wall	411	52	0
Wall	411	53	9
Wall	411	54	9
Wall	411	55	1
Wall	411	56	0
Wall	411	57	0
Wall	411	58	1
Wall	411	59	2
Wall	411	60	0
Wall	411	61	0
Wall	411	62	0
Wall	411	63	1
Wall	411	64	0
Wall	411	65	0
Wall	411	66	0
Wall	411	67	3
Wall	411	68	8
Wall	411	69	3
Wall	411	70	0
Wall	411	71	0
Wall	411	72	0
Wall	411	73	0
Wall	411	74	0
Wall	411	75	0
Wall	411	76	0
