WORD	AoA	AoA	IMG	FAM	LEN_L	LEN_S	LEN_P	MLBF	N
	(Yrs)	(100-700)							
blend	6.4	367	315	501	5	1	5	2.90	4
bless	6.1	366	299	503	5	1	4	2.97	1
blew	6.2	361	327	494	4	1	3	2.41	5
blind	5.2	275	396	495	5	1	5	3.09	4
bliss	8.2	507	377	489	5	1	4	2.73	2
bloke	8.0	459	571	617	5	1	4	2.84	1
blond	5.6	303	579	606	5	1	5	3.10	4
blonde	5.3	289	632	606	6	1	5	2.52	0
bloody	6.0	342	540	546	6	2	5	2.45	1
blouse	5.6	313	605	468	6	1	4	2.80	0
blow	4.9	259	399	536	4	1	3	2.66	8
blown	5.6	308	343	535	5	1	4	2.95	4
bluff	8.0	493	217	462	5	1	4	2.36	1
blunder	9.3	587	274	413	7	2	7	2.66	2
blunt	6.3	393	395	502	5	1	5	2.90	1
board	5.6	299	442	529	5	1	3	2.90	3
boiler	6.9	407	530	504	6	2	5	2.98	2
bold	6.5	387	384	493	4	1	4	3.18	11
bomber	8.3	523	455	435	6	2	5	3.01	1
bondage	11.2	675	473	442	7	2	6	2.55	1
bone	4.8	261	625	525	4	1	3	3.24	15
bonus	7.7	459	325	523	5	2	5	2.27	3
boom	5.5	315	449	465	4	1	3	3.53	9
boost	7.1	406	278	469	5	1	4	3.05	2
bore	7.2	428	214	473	4	1	3	3.61	15
boredom	6.5	386	305	562	7	2	5	2.54	0
boring	5.1	275	293	641	6	2	5	3.24	6
born	4.6	245	427	532	4	1	3	3.21	10
borne	9.8	631	191	413	5	1	3	2.76	0
boss	6.6	380	468	527	4	1	3	3.21	9
bottom	4.4	227	505	608	6	2	5	2.82	0
bought	5.3	283	283	630	6	1	3	2.87	4
bounce	4.8	266	481	508	6	1	4	2.88	2
bouncy	4.9	261	475	494	6	2	5	2.72	2
bound	7.3	433	282	476	5	1	4	3.28	7
bout	10.6	665	195	412	4	1	3	2.85	8
bowel	8.8	538	396	434	5	2	4	2.78	4
boxing	6.2	342	630	472	6	2	6	2.48	3
boycott	10.0	600	235	434	7	2	5	1.62	0
bracket	7.7	480	435	469	7	2	6	2.64	1
brand	7.8	477	260	534	5	1	5	3.07	3
brave	4.6	241	329	517	5	1	4	2.92	5
brazen	10.8	683	269	395	6	2	5	2.45	0
brazier	10.3	623	196	379	7	2	7	2.62	0
breach	9.5	590	238	421	6	1	4	2.68	5
bread	3.5	183	650	636	5	1	4	2.99	6
breast	9.7	428	590	555	6	1	5	2.76	0
brewer	7.0	570	396	411	6	2	5	2.70	1
bribe	9.3	531	269	471	5	1	4	2.47	3
bride	8.5	330	668	501	5	1	4	2.74	3
brink	8.7	523	246	421	5	1	5	3.27	7
brisk	7.1	414	257	479	5	1	5	2.48	3
broad	7.6	439	315	514	5	1	4	2.63	2
broke	11.4	283	358	584	5	1	4	2.88	2
bronze	6.8	401	511	433	6	1	5	2.22	0
broom	5.5	313	595	499	5	1	4	2.68	4
brow	7.8	473	425	449	4	1	3	2.83	5
brute	8.2	491	299	425	5	1	4	2.93	0
buck	8.5	524	425	392	4	1	3	3.03	13
build	4.4	240	400	562	5	1	4	3.20	2
bulb	5.5	293	611	510	4	1	4	2.00	2
bulge	7.5	444	475	460	5	1	4	2.19	2
bulk	7.2	407	372	459	4	1	4	2.65	7
bullet	6.5	376	608	443	6	2	5	2.85	4
bumble	6.7	393	300	423	6	2	5	2.85	7
bump	4.2	221	446	495	4	1	4	2.28	8
bundle	5.8	333	459	476	6	2	5	2.80	0
bunk	5.5	303	341	440	4	1	4	2.49	10
burglar	4.9	282	591	486	7	2	6	2.42	0
burner	7.1	433	403	433	6	2	5	3.07	3
burnt	5.4	310	463	543	5	1	4	2.59	2
burst	5.7	308	388	514	5	1	4	2.91	1
bury	5.3	282	402	488	4	2	4	2.87	8
bust	7.1	422	430	482	4	1	4	3.22	11
busy	5.2	282	305	621	4	2	4	2.74	4
butch	9.6	600	433	456	5	1	3	2.64	4
butler	7.1	414	517	415	6	2	6	2.76	2
butt	7.6	466	510	492	4	1	3	1.96	2
caddie	9.0	544	368	381	6	2	4	2.23	1
caddy	9.6	566	426	418	5	2	4	2.41	3
calcium	8.9	540	293	465	7	2	6	2.30	0
calf	5.7	331	559	454	4	1	3	3.07	3
calm	5.9	331	366	562	4	1	3	2.92	4
camel	5.5	315	648	426	5	2	4	2.80	1
camper	7.1	426	482	424	6	2	6	3.08	5
campus	10.5	634	421	540	6	2	6	2.58	0
cancer	8.3	500	429	527	6	2	6	3.04	4
candy	4.3	236	575	447	5	2	5	2.80	7
cane	6.2	348	543	443	4	1	3	3.32	19
cannon	6.1	333	615	427	6	2	5	2.92	3
canyon	8.6	520	566	415	6	2	6	2.27	2
cape	5.7	319	520	428	4	1	3	2.68	14
captive	7.8	467	360	453	7	2	6	2.69	0
capture	6.4	366	338	464	7	2	6	2.72	1
carat	9.5	585	283	384	5	2	5	2.83	0
carbon	10.3	656	390	443	6	2	5	2.65	1
card	4.6	245	576	562	4	1	3	3.19	12
careful	5.1	293	252	610	7	2	5	2.69	0
carol	5.3	289	372	422	5	2	5	2.40	1
carp	9.1	553	360	373	4	1	3	2.54	7
carry	4.7	248	341	586	5	2	4	2.98	5
carver	8.8	564	285	402	6	2	5	3.07	4
cash	6.1	342	575	666	4	1	3	3.15	12
cashier	7.3	435	493	514	7	2	5	2.94	0
casual	7.3	426	323	580	6	2	5	2.87	0
catch	6.8	256	425	561	5	1	3	3.05	6
cathode	12.1	700	400	371	7	2	5	2.80	0
caution	7.2	426	269	513	7	2	4	2.76	1
cave	5.5	291	589	457	4	1	3	3.62	16
cease	9.1	562	214	449	5	1	3	3.00	3
ceiling	5.5	308	587	504	7	2	5	3.15	2
cell	8.1	500	469	503	4	1	3	3.26	10
cello	6.8	392	613	406	5	2	4	2.18	3
cement	6.6	393	525	473	6	2	6	2.78	0
cereal	4.5	245	608	621	6	2	5	2.85	0
cervix	11.5	700	465	404	6	2	6	1.90	0
chalice	10.2	623	372	382	7	2	5	2.92	0
chalk	4.8	260	603	432	5	1	3	2.55	0
chaos	6.9	401	426	499	5	2	4	2.15	2
charge	6.5	366	257	583	6	1	3	2.85	1
cheap	5.6	322	311	631	5	1	3	3.02	1
cheer	5.4	305	365	520	5	1	3	3.47	2
cheque	7.9	463	559	565	6	1	3	2.25	0
chess	6.9	407	590	438	5	1	3	3.30	4
chest	5.6	302	551	509	5	1	4	3.40	3
chew	4.3	230	429	543	4	1	2	3.01	4
chin	4.6	237	585	513	4	1	3	2.86	6
chip	4.6	247	595	567	4	1	3	2.66	8
choose	5.5	313	239	624	6	1	3	2.97	1
choral	9.0	537	343	412	6	2	5	2.70	0
chubby	5.5	315	530	513	6	2	4	2.06	0
cigar	7.4	439	644	447	5	2	5	2.70	0
circus	5.1	261	595	418	6	2	5	2.23	0
clan	9.1	564	335	408	4	1	4	2.78	7
clause	11.1	700	260	419	6	1	4	2.54	0
clement	9.9	607	178	338	7	2	7	2.69	1
clergy	9.5	597	490	397	6	2	5	2.48	0
click	5.8	320	320	576	5	1	4	3.07	8
client	8.7	546	405	485	6	2	6	2.71	0
climate	7.6	453	382	486	7	2	6	2.60	0
climax	9.1	551	360	466	6	2	7	2.18	0
climb	4.8	240	485	540	5	1	4	2.41	0
cling	6.5	380	421	486	5	1	4	3.25	5
cloak	5.5	315	543	433	5	1	4	2.63	2
clobber	8.1	492	282	412	7	2	6	2.52	0
clock	4.1	210	640	636	5	1	4	2.90	7
closure	9.0	553	269	453	7	2	6	2.67	0
cloth	4.9	255	487	529	5	1	4	3.00	2
cloud	4.3	223	624	558	5	1	4	2.92	2
clue	5.8	322	339	520	4	1	3	2.28	4
clumsy	5.9	338	402	510	6	2	6	1.82	0
clung	7.1	418	270	447	5	1	4	3.05	5
cluster	8.0	480	430	463	7	2	7	2.79	2
clutch	8.4	510	415	486	6	1	4	2.16	1
clutter	7.0	414	487	501	7	2	6	2.71	3
coach	5.6	300	624	513	5	1	3	3.20	4
coarse	8.8	531	302	443	6	1	3	2.83	2
coaster	7.3	439	465	449	7	2	6	2.91	2
cock	7.7	389	611	484	4	1	3	2.89	11
cockney	9.9	626	325	438	7	2	5	2.33	0
cocoa	6.0	341	563	476	5	2	4	2.02	0
code	6.3	359	299	510	4	1	3	3.01	11
