Appendix B																				
Word Ratings and Associated Statistics (All Participants)																				

Word	Type	Letters	Syllables	K&F 	        ANEW		    Personal Use		      Familiarity		   Offensiveness		     Tabooness		        Valence		        Arousal		    Imageability	
				Freq.	Valence	Arousal	Mean	SD	Mean	SD	Mean	SD	Mean	SD	Mean	SD	Mean	SD	Mean	SD
sunlight	pos hi ar	8	2	17	7.76	6.10	5.05	2.08	5.58	2.19	1.01	0.11	1.01	0.11	6.47	1.14	2.74	2.20	7.34	1.90
surprised	pos hi ar	9	2	58	7.47	7.47	6.03	2.07	6.21	2.04	1.01	0.11	1.01	0.11	5.75	0.96	3.03	2.33	4.29	2.93
thrill	pos hi ar	6	1	5	8.05	8.02	4.31	2.15	5.01	2.07	1.01	0.11	1.18	0.77	6.21	1.38	3.32	2.68	3.27	2.63
wink	pos hi ar	4	1	7	6.93	5.44	4.18	2.19	4.84	2.33	1.03	0.16	1.18	0.72	5.57	0.70	2.68	1.98	6.76	2.47
wit	pos hi ar	3	1	20	7.32	5.42	3.82	2.22	4.36	2.27	1.04	0.20	1.10	0.58	6.13	1.26	2.18	1.97	1.99	1.87
zest	pos hi ar	4	1	5	6.79	5.59	2.25	1.73	3.19	2.18	1.03	0.16	1.06	0.47	5.82	1.05	2.34	2.07	2.41	1.98
alone	neg lo ar	5	2	195	2.41	4.83	5.55	2.12	6.08	2.03	1.38	1.10	1.58	1.41	3.33	1.40	2.44	1.98	3.58	2.59
blister	neg lo ar	7	2	3	2.88	4.10	3.71	2.03	4.01	2.08	1.05	0.27	1.10	0.52	3.85	1.06	2.19	1.71	6.91	2.25
broken	neg lo ar	6	2	63	3.05	5.43	5.51	2.05	6.01	2.23	1.21	0.70	1.14	0.60	3.61	1.22	2.18	1.74	5.01	2.56
carcass	neg lo ar	7	2	7	3.34	4.83	2.53	1.86	3.44	2.22	1.44	1.23	1.87	1.64	3.60	1.25	2.92	1.98	6.30	2.60
corrupt	neg lo ar	7	2	8	3.32	4.67	4.54	2.35	5.47	2.17	1.57	1.27	2.04	1.70	2.86	1.13	3.00	2.03	2.59	2.23
crime	neg lo ar	5	1	34	2.89	5.41	4.57	2.19	6.21	2.09	1.47	1.14	1.83	1.69	3.22	1.65	3.34	2.43	3.97	2.57
cut	neg lo ar	3	1	192	3.64	5.00	5.49	2.24	5.55	2.25	1.11	0.53	1.16	0.57	4.07	1.15	2.63	1.95	6.13	2.75
defeated	neg lo ar	8	3	15	2.34	5.09	4.16	2.23	5.34	1.98	1.70	1.75	1.53	1.17	3.13	1.16	2.48	1.76	2.92	2.29
depressed	neg lo ar	9	2	11	1.83	4.72	5.67	2.22	6.53	2.15	1.32	0.88	2.21	1.78	2.36	0.96	3.05	2.27	3.72	2.50
dirt	neg lo ar	4	1	43	4.17	3.76	5.00	2.37	5.39	2.33	1.45	1.24	1.38	1.06	3.97	0.95	1.82	1.46	7.41	2.07
failure	neg lo ar	7	3	89	1.70	4.95	5.09	1.97	5.74	1.96	1.86	1.80	1.75	1.51	2.64	1.23	2.73	2.18	2.44	2.22
false.	neg lo ar	5	1	29	3.27	3.43	5.38	2.28	6.18	2.19	1.34	1.24	1.35	1.16	3.51	1.18	2.45	2.22	1.99	1.66
fat	neg lo ar	3	1	60	2.28	4.81	6.39	2.22	7.19	1.88	3.43	2.47	3.91	2.59	2.43	0.97	3.68	2.42	6.95	2.23
fault	neg lo ar	5	1	22	3.43	4.07	4.97	2.23	5.61	2.28	1.53	1.38	1.51	1.36	3.65	1.07	2.19	1.79	2.44	2.25
fever	neg lo ar	5	2	19	2.76	4.29	4.29	2.15	5.00	2.19	1.05	0.28	1.13	0.53	3.43	1.30	2.14	1.66	4.01	2.24
foul	neg lo ar	4	1	4	2.81	4.93	3.80	2.40	4.87	2.09	1.61	1.32	1.63	1.31	3.36	1.19	2.47	1.94	2.64	2.12
germs	neg lo ar	5	1	1	2.86	4.49	4.46	2.27	5.54	2.18	1.37	1.15	1.37	1.11	3.55	1.30	2.45	1.88	4.63	2.94
gloom	neg lo ar	5	1	14	1.88	3.83	3.35	2.32	3.90	2.33	1.17	0.62	1.26	0.79	3.39	1.28	2.14	1.65	3.48	2.44
headache	neg lo ar	8	2	5	2.02	5.07	5.49	2.20	6.42	2.14	1.05	0.22	1.06	0.34	3.44	1.25	2.29	1.67	3.56	2.28
hungry	neg lo ar	6	2	23	3.58	5.13	7.61	1.75	7.54	1.89	1.03	0.16	1.03	0.16	4.36	1.23	3.89	2.59	3.53	2.75
illness	neg lo ar	7	2	20	2.48	4.71	4.58	2.40	5.84	2.29	1.22	0.79	1.55	1.32	3.09	1.32	2.64	2.08	3.77	2.50
lonely	neg lo ar	6	2	25	2.17	4.51	5.43	2.15	6.23	2.06	1.52	1.26	1.38	1.11	3.06	1.25	2.53	1.78	3.38	2.60
massacre	neg lo ar	8	3	1	2.28	5.33	3.21	1.88	4.38	2.11	1.64	1.69	2.09	1.86	2.34	1.47	4.18	2.68	5.13	2.66
measles	neg lo ar	7	2	2	2.74	5.06	2.25	1.84	3.34	2.30	1.01	0.11	1.35	0.98	3.29	1.34	2.37	1.92	4.53	2.81
meek	neg lo ar	4	1	10	3.87	3.80	2.27	1.49	3.12	2.09	1.32	1.01	1.22	0.62	4.30	1.45	1.73	1.46	2.18	1.74
mildew	neg lo ar	6	2	1	3.17	4.08	3.27	2.32	3.94	2.41	1.10	0.45	1.23	0.76	3.86	1.18	1.86	1.46	5.79	2.73
mold	neg lo ar	4	1	45	3.55	4.07	3.79	2.04	4.64	2.21	1.26	1.15	1.39	1.26	3.79	1.35	2.01	1.63	6.38	2.76
moody	neg lo ar	5	2	5	3.20	4.18	5.09	2.07	5.67	2.23	1.60	1.58	1.47	1.28	3.63	1.21	2.37	1.98	2.88	2.40
morbid	neg lo ar	6	2	1	2.87	5.06	3.23	2.06	4.01	2.18	1.51	1.54	1.78	1.64	3.00	1.26	2.71	2.03	2.92	2.37
nuisance	neg lo ar	8	2	5	3.27	4.49	3.27	2.12	4.35	2.08	1.51	1.41	1.49	1.31	3.58	1.20	2.09	1.89	2.40	2.11
obesity	neg lo ar	7	4	5	2.73	3.87	3.96	2.05	6.13	2.02	1.81	1.55	2.73	2.04	2.62	1.26	3.23	2.27	6.92	2.21
penalty	neg lo ar	7	3	14	2.83	5.10	3.79	2.39	4.86	2.43	1.17	0.62	1.21	0.87	3.58	1.16	2.21	1.86	2.36	1.73
poverty	neg lo ar	7	3	20	1.67	4.87	4.50	2.27	5.74	2.40	1.30	0.86	1.68	1.55	2.76	1.18	3.16	2.33	4.87	2.91
resent	neg lo ar	6	2	8	3.76	4.47	3.91	2.19	4.66	2.35	1.38	1.02	1.46	1.25	3.64	1.29	2.50	1.98	1.96	1.33
rigid	neg lo ar	5	2	24	3.66	4.66	3.29	1.95	4.31	1.99	1.23	0.67	1.39	1.07	4.36	0.99	1.94	1.75	3.59	2.54
rusty	neg lo ar	5	2	8	3.86	3.77	3.61	2.15	4.18	2.27	1.08	0.51	1.14	0.74	4.13	1.13	1.64	1.21	5.60	2.64
sad	neg lo ar	3	1	35	1.61	4.13	6.27	2.23	6.64	2.14	1.29	1.02	1.36	1.25	2.87	0.98	2.70	2.07	3.86	2.57
severe	neg lo ar	6	2	39	3.20	5.26	4.73	2.04	5.29	2.14	1.10	0.44	1.14	0.62	3.33	1.46	3.08	2.11	2.37	2.06
sick	neg lo ar	4	1	51	1.90	4.29	6.06	1.97	6.56	1.87	1.23	0.89	1.52	1.23	3.23	1.05	2.73	2.04	4.25	2.41
stench	neg lo ar	6	1	1	2.19	4.36	3.09	2.00	3.89	2.25	1.45	1.03	1.55	1.31	3.12	1.24	2.62	1.91	2.78	2.27
tomb	neg lo ar	4	1	11	2.94	4.73	3.00	2.40	3.78	2.38	1.10	0.70	1.52	1.33	4.09	1.13	2.42	1.92	7.62	1.81
trash	neg lo ar	5	1	2	2.67	4.16	6.37	2.30	6.42	2.16	1.45	1.31	1.32	1.17	3.68	1.38	2.05	1.71	7.37	2.15
ugly	neg lo ar	4	2	21	2.43	5.38	5.79	2.14	6.49	1.98	3.06	2.48	3.09	2.21	2.62	1.14	3.40	2.58	4.52	2.61
unhappy	neg lo ar	7	3	26	1.57	4.18	4.92	2.30	5.81	2.10	1.31	1.07	1.56	1.34	3.06	1.16	2.54	2.04	3.61	2.64
urine	neg lo ar	5	2	1	3.25	4.20	3.31	2.05	4.47	2.07	1.40	0.80	2.31	1.52	3.96	1.14	2.73	1.94	7.01	2.29
waste	neg lo ar	5	1	35	2.93	4.14	5.47	2.35	5.94	2.22	1.60	1.47	1.42	1.14	3.17	1.23	2.37	1.97	4.80	2.80
alcoholic	neg hi ar	9	4	3	2.84	5.69	5.01	2.20	6.16	2.17	2.27	2.13	3.45	2.57	2.64	1.46	3.78	2.42	4.78	2.61
anger	neg hi ar	5	2	48	2.34	7.63	5.99	2.30	6.48	2.19	1.48	1.33	1.75	1.66	3.26	1.36	3.43	2.38	4.21	2.71
assassin	neg hi ar	8	3	6	3.09	6.28	3.14	2.05	4.03	2.14	1.51	1.48	2.24	2.18	3.17	1.35	3.08	2.34	4.49	2.78
assault	neg hi ar	7	2	15	2.03	7.51	3.69	2.09	5.25	2.10	1.86	1.92	2.29	2.28	2.56	1.22	3.75	2.40	4.09	2.59
bankrupt	neg hi ar	8	2	5	2.00	6.21	3.16	2.15	4.69	2.47	1.18	0.51	1.92	1.75	2.87	1.29	2.99	2.23	2.71	2.06
bees	neg hi ar	4	1	15	3.20	6.51	3.90	2.17	4.56	2.39	1.04	0.20	1.04	0.25	4.48	1.11	2.22	1.90	8.21	1.27
betray	neg hi ar	6	2	4	1.68	7.24	3.91	2.02	4.71	2.15	1.81	1.81	2.10	2.08	2.77	1.17	3.51	2.35	2.18	1.79
brutal	neg hi ar	6	2	7	2.80	6.60	4.51	2.24	4.94	2.09	1.45	1.14	1.90	1.79	2.97	1.17	3.21	2.26	3.04	2.19
chaos	neg hi ar	5	2	17	4.17	6.67	4.09	2.04	4.99	2.02	1.30	0.99	1.62	1.42	3.08	1.39	3.43	2.30	4.36	2.49
cockroach	neg hi ar	9	2	2	2.81	6.11	3.30	2.10	4.18	2.45	1.26	0.79	1.56	1.20	3.61	1.36	3.08	2.24	8.12	1.28
crash	neg hi ar	5	1	20	2.31	6.95	4.71	2.11	5.88	2.16	1.16	0.63	1.38	1.15	3.25	1.26	3.62	2.47	6.53	2.30
debt	neg hi ar	4	1	13	2.22	5.68	4.58	2.47	5.88	2.31	1.30	0.89	1.81	1.67	3.21	1.30	2.47	1.91	2.68	2.41
divorce	neg hi ar	7	2	29	2.22	6.33	4.26	2.30	6.21	2.12	1.40	1.18	2.25	1.89	2.96	1.38	3.05	2.33	3.29	2.58
evil	neg hi ar	4	2	72	3.23	6.39	4.93	2.17	5.58	2.17	1.71	1.56	2.37	2.06	2.41	1.53	3.17	2.12	3.33	2.29
fight	neg hi ar	5	1	98	3.76	7.15	5.54	2.17	6.36	2.06	1.32	1.20	1.59	1.37	3.43	1.16	3.18	2.27	5.86	2.71
fire	neg hi ar	4	1	187	3.22	7.17	4.86	2.27	5.75	2.32	1.06	0.34	1.18	0.74	4.19	1.32	3.52	2.40	8.31	0.99
flood	neg hi ar	5	1	19	3.19	6.00	3.71	2.15	5.01	2.33	1.04	0.20	1.13	0.71	3.68	1.23	2.36	1.98	7.10	2.11
fraud	neg hi ar	5	1	8	2.67	5.75	3.16	1.84	4.95	2.28	2.01	1.88	1.94	1.87	2.81	1.23	2.83	2.01	2.52	1.90
gossip	neg hi ar	6	2	13	3.48	5.74	5.04	2.30	6.22	1.93	1.49	1.06	1.95	1.52	3.54	1.18	2.96	2.11	2.70	2.16
guilty	neg hi ar	6	2	29	2.63	6.04	5.04	1.99	6.01	1.94	1.44	0.97	1.79	1.57	2.91	1.21	2.91	2.03	2.51	1.90
gun	neg hi ar	3	1	118	3.47	7.02	4.21	2.27	6.08	2.22	1.55	1.28	2.58	2.16	3.33	1.40	3.89	2.71	8.36	1.20
horror	neg hi ar	6	2	17	2.76	7.21	4.34	2.25	5.37	2.04	1.26	0.96	1.21	0.82	3.13	1.24	3.55	2.46	3.83	2.71
hurricane	neg hi ar	9	3	8	3.34	6.83	3.32	1.98	4.99	2.07	1.19	0.99	1.42	1.25	3.09	1.50	3.48	2.49	7.13	1.98
insane	neg hi ar	6	2	13	2.85	5.83	5.17	2.38	5.49	2.39	1.72	1.57	2.41	2.27	3.32	1.11	2.87	2.15	3.13	2.29
lie	neg hi ar	3	1	59	2.79	5.96	5.74	2.26	6.23	1.98	1.92	1.89	2.18	2.09	2.78	1.26	3.04	2.23	2.26	2.00
murderer	neg hi ar	8	3	19	1.53	7.47	3.79	2.37	5.72	2.34	2.45	2.32	3.20	2.67	2.03	1.27	4.95	2.38	4.35	2.63
nervous	neg hi ar	7	2	24	3.29	6.59	6.05	1.81	6.57	1.83	1.12	0.61	1.21	0.82	3.91	0.91	2.60	2.15	2.86	2.16
outrage	neg hi ar	7	2	4	3.52	6.83	3.95	2.16	4.83	2.20	1.24	0.74	1.58	1.17	3.27	1.34	3.37	2.46	3.18	2.28
panic	neg hi ar	5	2	22	3.12	7.02	4.61	2.13	5.35	2.32	1.08	0.39	1.32	1.06	3.43	1.24	3.00	2.15	3.61	2.60
pest	neg hi ar	4	1	4	3.13	5.62	3.44	2.12	4.30	2.07	1.61	1.41	1.61	1.30	3.44	1.19	2.39	2.07	4.27	2.56
pollute	neg hi ar	7	2	1	1.85	6.08	4.74	2.28	6.01	2.26	1.65	1.63	1.58	1.40	2.96	1.38	3.06	2.25	4.66	2.73
quarrel	neg hi ar	7	2	20	2.93	6.29	3.10	2.16	4.04	2.25	1.25	1.11	1.39	1.24	3.83	1.22	2.56	2.04	4.23	2.63
rage	neg hi ar	4	1	16	2.41	8.17	3.90	2.05	4.82	2.02	1.60	1.43	1.83	1.68	3.01	1.60	3.30	2.12	3.71	2.50
riot	neg hi ar	4	2	7	2.96	6.39	3.21	1.77	4.27	2.12	1.30	0.73	2.03	1.67	3.00	1.09	4.12	2.54	6.30	2.27
roach	neg hi ar	5	1	2	2.35	6.64	3.21	2.28	3.81	2.48	1.31	0.85	1.77	1.56	3.60	1.27	2.68	2.03	7.32	2.16
scared	neg hi ar	6	1	21	2.78	6.82	5.75	2.24	6.16	2.23	1.22	0.81	1.43	1.13	3.38	1.04	3.07	2.17	3.76	2.52
scream	neg hi ar	6	1	13	3.88	7.04	4.97	2.30	5.66	2.15	1.18	0.65	1.46	1.06	3.95	1.08	3.21	2.13	4.63	2.79
sinful	neg hi ar	6	2	3	2.93	6.29	3.53	2.50	4.58	2.44	1.73	1.61	2.82	2.36	2.52	1.18	3.58	2.31	2.49	2.18
slap	neg hi ar	4	1	2	2.95	6.46	4.56	2.15	5.44	2.22	1.63	1.29	1.93	1.68	3.41	1.29	3.21	2.24	6.32	2.55
snake	neg hi ar	5	1	44	3.31	6.82	3.99	2.28	4.86	2.54	1.17	0.68	1.32	0.96	3.97	1.23	3.36	2.55	8.42	1.02
snob	neg hi ar	4	1	1	3.36	5.65	3.75	1.96	4.99	2.12	2.45	2.21	2.51	2.03	2.97	1.09	2.88	2.07	3.70	2.53
stress	neg hi ar	6	1	107	2.09	7.45	6.94	1.85	7.22	1.80	1.14	0.58	1.42	1.08	2.99	1.27	3.10	2.20	2.83	2.33
tense	neg hi ar	5	1	15	3.56	6.53	4.89	2.25	5.22	2.26	1.18	0.73	1.11	0.39	3.88	1.02	2.33	1.78	2.74	2.07
torture	neg hi ar	7	2	3	1.56	6.10	3.61	2.22	4.60	2.18	2.00	1.97	2.51	2.29	2.40	1.18	4.36	2.63	5.04	2.74
toxic	neg hi ar	5	2	3	2.10	6.40	3.56	2.07	4.62	2.25	1.37	1.14	1.58	1.59	2.88	1.21	3.21	2.47	4.01	2.77
trauma	neg hi ar	6	2	1	2.10	6.33	4.09	2.12	5.54	2.12	1.26	0.81	1.53	1.40	2.96	1.52	3.42	2.39	3.77	2.34
aloof	unrel neu	5	2	5	4.90	4.28	3.00	2.25	3.56	2.21	1.42	1.22	1.25	0.85	4.38	1.00	1.96	1.65	2.17	1.68
ankle	unrel neu	5	2	8	5.27	4.16	4.87	2.33	4.94	2.29	1.01	0.11	1.01	0.11	4.97	0.36	1.39	0.89	8.00	1.55
arm	unrel neu	3	1	94	5.34	3.59	6.00	2.12	6.10	2.30	1.01	0.11	1.01	0.11	5.03	0.63	1.49	1.13	8.01	1.64
bandage	unrel neu	7	2	4	4.54	3.90	4.26	2.20	4.92	2.26	1.01	0.12	1.00	0.00	5.12	1.10	1.46	0.97	7.62	1.95
banner	unrel neu	6	2	8	5.40	3.83	3.60	2.28	4.18	2.29	1.01	0.11	1.04	0.20	4.94	0.80	1.35	0.93	7.18	2.21
barrel	unrel neu	6	2	24	5.05	3.36	2.88	1.95	3.58	2.27	1.06	0.47	1.09	0.52	5.03	0.83	1.57	1.22	7.45	2.14
basket	unrel neu	6	2	17	5.45	3.63	4.04	2.31	4.36	2.37	1.09	0.69	1.13	0.92	5.00	0.00	1.26	0.79	7.96	1.62
blase	unrel neu	5	2	7	4.89	3.94	1.68	1.53	2.20	1.83	1.07	0.31	1.35	1.02	4.72	1.10	1.69	1.44	2.39	2.34
butter	unrel neu	6	2	27	5.33	3.17	5.17	2.17	5.58	2.21	1.03	0.23	1.01	0.11	5.01	0.84	1.60	1.23	8.16	1.51
cannon	unrel neu	6	2	7	4.90	4.71	2.95	2.15	3.52	2.34	1.17	0.62	1.10	0.50	4.60	0.88	2.22	1.88	7.87	1.70
chin	unrel neu	4	1	27	5.29	3.31	4.22	2.26	4.55	2.26	1.01	0.12	1.05	0.32	4.96	0.70	1.32	0.90	7.72	2.04
circle	unrel neu	6	2	60	5.67	3.86	5.13	2.22	5.30	2.51	1.00	0.00	1.00	0.00	5.03	0.67	1.29	0.80	8.47	1.37
consoled	unrel neu	8	2	2	5.78	4.53	3.24	1.91	4.13	2.10	1.04	0.20	1.08	0.48	5.87	1.09	1.93	1.71	2.51	1.89
contents	unrel neu	8	2	16	4.89	4.32	4.12	2.42	4.75	2.55	1.01	0.12	1.04	0.26	5.04	0.47	1.25	0.70	2.68	2.37
context	unrel neu	7	2	2	5.20	4.22	4.82	2.24	5.42	2.42	1.01	0.12	1.03	0.16	5.00	0.00	1.43	1.08	2.04	1.94
cord	unrel neu	4	1	6	5.10	3.54	3.97	2.61	4.42	2.47	1.01	0.11	1.00	0.00	4.94	0.41	1.29	0.89	7.22	2.16
cork	unrel neu	4	1	9	5.22	3.80	3.13	1.75	3.92	2.09	1.03	0.16	1.05	0.27	5.04	0.57	1.54	1.10	7.24	2.31
corridor	unrel neu	8	3	17	4.88	3.63	2.78	2.06	3.65	2.10	1.00	0.00	1.03	0.16	5.04	0.50	1.48	1.07	6.66	2.26
cow	unrel neu	3	1	29	5.57	3.49	4.27	2.14	4.81	2.21	1.06	0.38	1.25	0.81	4.78	0.79	1.69	1.38	8.17	1.60
egg	unrel neu	3	1	12	5.29	3.76	5.45	2.36	5.79	2.42	1.01	0.12	1.04	0.20	5.09	0.64	1.50	1.15	8.45	1.00
elbow	unrel neu	5	2	10	5.12	3.81	4.75	2.32	5.00	2.39	1.01	0.12	1.01	0.12	5.03	1.01	1.38	1.08	7.86	1.94
engine	unrel neu	6	2	50	5.20	3.98	4.23	2.46	4.92	2.41	1.03	0.16	1.03	0.16	5.13	0.59	1.66	1.47	7.16	2.23
errand	unrel neu	6	2	7	4.58	3.85	5.15	2.34	5.65	2.40	1.05	0.27	1.03	0.16	4.91	0.72	1.71	1.15	2.99	2.54
fabric	unrel neu	6	2	15	5.30	4.14	4.29	2.44	4.81	2.33	1.00	0.00	1.00	0.00	5.05	0.32	1.57	1.32	6.61	2.37
farm	unrel neu	4	1	125	5.53	3.90	3.30	1.98	4.35	2.27	1.03	0.16	1.03	0.16	5.14	0.64	1.69	1.27	7.60	2.00
finger	unrel neu	6	2	40	5.29	3.78	5.53	2.24	5.78	2.40	1.20	0.75	1.38	1.35	4.91	0.57	1.71	1.43	8.38	1.47
foot	unrel neu	4	1	70	5.02	3.27	5.71	2.19	5.97	2.27	1.01	0.11	1.05	0.22	5.08	0.51	1.45	1.01	8.30	1.17
fork	unrel neu	4	1	14	5.29	3.96	6.27	2.19	6.27	2.33	1.00	0.00	1.05	0.28	5.06	0.55	1.57	1.11	8.30	1.24
fur	unrel neu	3	1	13	4.51	4.18	3.99	2.37	4.75	2.44	1.30	1.08	1.57	1.29	4.73	1.00	1.99	1.50	7.75	1.53
gender	unrel neu	6	2	2	5.73	4.38	4.68	2.28	5.96	2.36	1.05	0.28	1.35	1.05	5.14	0.77	1.86	1.68	4.22	3.12
glacier	unrel neu	7	2	1	5.50	4.24	2.74	1.72	3.74	2.10	1.03	0.16	1.03	0.16	5.12	0.62	1.67	1.31	7.42	2.06
golfer	unrel neu	6	2	3	5.61	3.73	3.46	2.35	4.37	2.34	1.03	0.16	1.01	0.12	5.13	0.57	1.45	1.15	7.54	1.84
hairpin	unrel neu	7	2	1	5.26	3.27	3.30	2.42	4.10	2.40	1.01	0.11	1.03	0.23	5.01	0.66	1.30	0.73	7.40	2.20
hay	unrel neu	3	1	19	5.24	3.95	2.78	2.11	3.39	2.26	1.01	0.11	1.04	0.20	5.01	0.20	1.47	1.21	7.72	1.85
icebox	unrel neu	6	2	3	4.95	4.17	2.73	2.25	3.51	2.27	1.01	0.11	1.00	0.00	5.06	0.89	1.47	1.17	6.86	2.56
indifferent	unrel neu	11	3	11	4.61	3.18	4.50	2.47	5.09	2.32	1.20	0.71	1.18	0.80	4.51	0.92	1.78	1.42	1.86	1.73
industry	unrel neu	8	3	171	5.30	4.47	4.29	2.22	5.26	2.16	1.01	0.11	1.06	0.25	4.91	0.52	1.58	1.20	3.96	2.82
ink	unrel neu	3	1	7	5.05	3.84	4.55	2.44	4.83	2.22	1.00	0.00	1.01	0.11	5.05	0.56	1.31	0.86	6.99	2.41
item	unrel neu	4	2	54	5.26	3.24	4.94	2.42	5.50	2.33	1.01	0.11	1.03	0.23	5.06	0.47	1.35	0.95	3.59	2.88
jelly	unrel neu	5	2	3	5.66	3.70	4.26	2.23	4.92	2.18	1.01	0.11	1.03	0.16	5.23	0.84	2.03	1.88	7.55	1.93
journal	unrel neu	7	2	42	5.14	4.05	4.58	2.47	5.03	2.49	1.09	0.49	1.04	0.20	5.22	0.66	2.05	1.88	7.19	2.25
jug	unrel neu	3	1	6	5.24	3.88	3.18	2.07	3.91	2.16	1.16	0.86	1.32	1.22	5.05	0.28	1.58	1.38	7.32	2.09
kerchief	unrel neu	8	2	1	5.11	3.43	2.37	2.04	2.59	2.02	1.03	0.16	1.03	0.16	4.97	0.28	1.37	1.11	6.64	2.82
kerosene	unrel neu	8	3	6	4.80	4.34	2.17	1.58	2.97	1.94	1.01	0.11	1.05	0.28	4.83	0.72	1.61	1.22	4.86	2.88
ketchup	unrel neu	7	2	1	5.60	4.09	5.19	2.35	5.77	2.23	1.01	0.11	1.01	0.11	5.12	0.51	1.64	1.26	7.99	1.63
knot	unrel neu	4	1	8	4.64	4.07	4.22	2.31	4.70	2.42	1.01	0.11	1.01	0.11	4.97	0.78	1.36	1.06	7.52	1.76
lantern	unrel neu	7	2	13	5.57	4.05	2.88	2.27	3.51	2.29	1.01	0.11	1.04	0.25	4.99	0.47	1.38	1.03	7.63	2.05
limber	unrel neu	6	2	2	5.68	4.57	2.77	1.84	3.60	2.18	1.04	0.20	1.06	0.34	5.48	0.98	1.87	1.63	3.39	2.52
locker	unrel neu	6	2	9	5.19	3.38	3.97	2.18	4.88	2.25	1.01	0.11	1.04	0.25	5.05	0.48	1.45	1.02	7.49	2.06
manner	unrel neu	6	2	124	5.64	4.56	4.26	2.34	4.49	2.22	1.03	0.16	1.04	0.25	5.18	0.81	1.46	1.10	2.32	2.07
medicine	unrel neu	8	3	30	5.67	4.40	6.12	2.14	6.74	1.98	1.01	0.11	1.13	0.47	5.82	1.41	2.84	2.48	6.29	2.59
metal	unrel neu	5	2	61	4.95	3.79	4.88	2.36	5.29	2.36	1.03	0.16	1.01	0.11	4.96	0.75	1.43	1.06	6.84	2.36
modest	unrel neu	6	2	29	5.76	3.98	4.48	2.09	5.12	2.13	1.08	0.42	1.12	0.46	6.21	1.30	2.05	1.76	2.44	2.25
museum	unrel neu	6	2	32	5.54	3.60	4.34	2.28	4.84	2.11	1.00	0.00	1.00	0.00	5.29	0.76	1.88	1.60	7.13	2.24
mushroom	unrel neu	8	2	2	5.78	4.72	4.73	2.29	5.19	2.35	1.06	0.34	1.24	0.74	4.91	0.87	1.85	1.49	8.14	1.46
noisy	unrel neu	5	2	6	5.02	6.38	5.52	1.87	6.09	2.11	1.40	1.24	1.31	1.15	3.75	1.18	2.40	1.93	3.10	2.57
nun	unrel neu	3	1	2	4.93	2.93	2.68	1.72	3.71	2.06	1.08	0.48	1.15	0.56	5.82	1.36	1.68	1.21	7.90	1.74
obey	unrel neu	4	2	8	4.52	4.23	4.18	2.01	5.08	2.20	1.31	0.92	1.34	1.03	5.08	1.35	2.10	1.66	2.38	1.79
pamphlet	unrel neu	8	2	3	4.79	3.62	3.34	2.28	4.21	2.43	1.05	0.28	1.03	0.16	5.00	0.16	1.44	1.27	7.29	2.22
paper	unrel neu	5	2	157	5.20	2.50	6.78	1.94	6.94	2.14	1.04	0.20	1.03	0.16	4.92	0.68	1.35	0.84	7.99	1.74
passage	unrel neu	7	2	49	5.28	4.36	4.20	2.35	4.59	2.27	1.04	0.26	1.03	0.16	5.09	0.72	1.37	0.88	4.08	2.70
patent	unrel neu	6	2	35	5.29	3.50	3.22	2.33	4.37	2.44	1.00	0.00	1.03	0.16	5.24	0.76	1.53	1.16	2.64	2.42
pencil	unrel neu	6	2	34	5.22	3.14	6.24	2.23	6.42	2.40	1.00	0.00	1.03	0.23	5.08	0.66	1.38	1.04	8.44	1.24
phase	unrel neu	5	1	72	5.17	3.98	4.09	2.45	4.65	2.39	1.01	0.11	1.05	0.22	4.99	0.26	1.56	1.22	2.10	1.85
pig	unrel neu	3	1	8	5.07	4.20	4.21	2.44	4.92	2.26	1.56	1.43	1.74	1.42	4.34	1.41	2.01	1.82	8.39	1.18
prairie	unrel neu	7	2	21	5.75	3.41	2.61	2.17	3.05	2.16	1.00	0.00	1.01	0.11	5.14	0.66	1.48	1.21	6.84	2.43
privacy	unrel neu	7	3	12	5.88	4.12	5.41	2.28	5.79	2.34	1.04	0.26	1.12	0.46	5.77	1.09	2.16	2.06	2.40	2.13
quart	unrel neu	5	1	3	5.39	3.59	3.26	2.23	4.19	2.37	1.01	0.11	1.01	0.11	5.01	0.11	1.44	1.13	4.39	3.18
quiet	unrel neu	5	2	76	5.58	2.82	5.91	2.21	6.43	2.12	1.03	0.16	1.10	0.58	5.05	0.93	1.74	1.40	2.69	2.30
rain	unrel neu	4	1	70	5.08	3.65	5.56	2.00	5.95	2.03	1.09	0.52	1.13	0.68	5.01	1.27	2.71	2.01	7.61	1.87
rattle	unrel neu	6	2	5	5.03	4.36	3.20	2.21	3.63	2.23	1.07	0.38	1.04	0.20	4.83	0.62	1.78	1.53	5.45	2.85
reverent	unrel neu	8	3	3	5.35	4.00	2.37	1.74	2.87	1.98	1.10	0.59	1.13	0.54	5.67	1.20	1.69	1.33	2.29	2.06
salad	unrel neu	5	2	9	5.74	3.81	6.04	2.30	6.44	2.14	1.01	0.11	1.01	0.11	5.47	1.00	2.01	1.72	7.96	1.46
sheltered	unrel neu	9	2	4	5.75	4.28	3.83	2.11	4.81	2.20	1.36	1.10	1.28	0.80	4.55	1.33	1.89	1.40	3.20	2.22
