Appendix B																				
Word Ratings and Associated Statistics (All Participants)																				

Word	Type	Letters	Syllables	K&F 	        ANEW		    Personal Use		      Familiarity		   Offensiveness		     Tabooness		        Valence		        Arousal		    Imageability	
				Freq.	Valence	Arousal	Mean	SD	Mean	SD	Mean	SD	Mean	SD	Mean	SD	Mean	SD	Mean	SD
horny	taboo	5	2				4.50	2.43	5.59	2.20	2.04	1.67	5.10	2.30	4.35	1.31	5.40	2.25	3.45	2.55
hump	taboo	4	1				3.19	1.91	4.36	1.97	1.92	1.34	4.21	2.26	4.52	0.97	3.90	2.16	5.65	2.66
idiot	taboo	5	3	2	3.16	4.21	5.51	2.32	6.27	2.05	2.57	2.09	3.32	2.20	3.04	1.19	2.90	2.08	2.84	2.30
jerk	taboo	4	1				5.53	2.17	6.32	1.98	2.38	1.61	3.00	1.89	3.08	1.06	3.32	2.01	2.97	2.29
jism	taboo	4	2				1.36	0.80	1.80	1.43	2.11	1.88	3.59	2.76	4.15	1.31	3.58	2.71	2.70	2.64
jugs	taboo	4	1				2.65	2.18	4.01	2.31	2.26	1.92	3.53	2.44	4.44	1.25	3.45	2.52	6.40	2.56
kike	taboo	4	1				1.29	0.81	1.97	1.76	3.36	2.96	4.63	3.43	3.04	1.74	3.94	3.27	2.15	2.19
knockers	taboo	8	2				2.09	1.76	3.72	2.21	2.38	1.89	4.17	2.67	4.53	1.44	3.87	2.63	5.54	2.74
lame	taboo	4	1				6.29	2.27	6.12	2.35	1.77	1.59	1.84	1.43	3.57	1.16	1.99	1.44	2.31	2.21
lesbo	taboo	5	2				2.35	1.66	4.05	2.25	3.81	2.46	6.18	2.07	2.81	1.23	4.39	2.47	3.94	2.86
loser	taboo	5	2	1	2.25	4.95	5.62	2.12	6.26	2.11	3.21	2.24	3.08	2.25	2.61	1.13	3.43	2.31	3.34	2.29
masturbate	taboo	10	3		5.45	5.67	3.64	2.21	5.14	2.01	2.43	1.90	6.00	2.22	3.87	1.63	5.26	2.27	5.30	2.72
moron	taboo	5	2				3.71	1.99	5.04	2.21	3.00	2.15	3.53	2.01	2.99	1.29	3.12	2.03	2.61	2.26
motherfucker	taboo	12	4				3.97	2.69	5.62	2.27	4.83	2.85	7.75	1.63	1.80	0.92	6.22	2.55	1.87	1.54
nigger	taboo	6	2				1.66	1.48	4.80	2.44	6.64	2.82	8.45	1.20	1.42	0.85	7.03	2.62	5.34	3.20
nipples	taboo	7	2				3.92	2.23	5.32	2.22	1.82	1.68	4.69	2.24	4.79	1.23	4.78	2.32	7.83	1.63
nutsack	taboo	7	2				2.17	1.70	3.16	1.89	3.03	2.38	5.42	2.53	3.71	1.39	4.47	2.65	5.55	2.91
orgasm	taboo	6	3	7	8.32	8.10	4.38	2.20	5.67	2.24	1.62	1.31	5.22	2.20	6.63	1.80	5.75	2.43	4.92	2.90
pecker	taboo	6	2				1.81	1.54	2.91	1.89	1.99	1.85	3.53	2.44	3.94	1.22	3.21	2.46	3.95	2.83
pee	taboo	3	1				6.30	2.22	6.19	2.37	1.35	0.90	2.64	1.89	4.56	1.02	2.68	2.16	6.08	2.35
penis	taboo	5	2		5.90	5.54	4.30	2.36	5.74	2.10	1.99	1.83	5.01	2.37	4.61	1.48	5.17	2.47	7.82	1.78
piss	taboo	4	1				4.28	2.65	5.30	2.26	2.03	1.55	4.30	2.29	3.51	1.03	3.41	2.16	5.29	2.84
prick	taboo	5	1	2	3.98	4.70	2.66	1.80	3.95	1.79	3.75	2.56	4.68	2.55	2.88	1.55	4.12	2.49	3.08	2.51
pussy	taboo	5	2				3.66	2.31	5.36	2.37	4.36	2.75	6.60	2.01	2.87	1.45	6.03	2.12	5.22	3.00
queer	taboo	5	1				2.43	1.84	4.72	2.10	3.70	2.51	5.49	2.47	2.79	1.36	3.92	2.76	3.04	2.64
randy	taboo	5	2				1.71	1.48	2.25	1.69	1.16	0.64	1.80	1.53	4.83	0.94	2.33	2.07	2.15	2.21
retard	taboo	6	2				3.92	2.00	5.68	2.23	4.52	2.56	5.64	2.23	2.38	1.15	4.30	2.45	3.90	2.59
rimjob	taboo	6	2				1.75	1.53	2.60	2.00	3.03	2.53	5.72	3.15	3.89	1.58	5.03	3.00	4.45	3.03
screw	taboo	5	1				4.96	2.24	5.42	2.11	1.78	1.41	3.22	2.40	4.14	1.10	3.20	2.36	5.44	2.95
scrotum	taboo	7	2				2.14	1.43	3.39	2.16	2.07	1.54	4.39	2.37	4.41	1.12	4.29	2.43	6.29	2.63
semen	taboo	5	2				3.34	2.33	4.30	2.20	1.53	1.10	4.04	2.06	4.64	0.96	4.14	2.32	6.40	2.70
shit	taboo	4	1				6.23	2.47	7.42	1.75	2.81	2.32	5.60	2.52	2.74	1.27	4.70	2.70	4.45	3.06
shithead	taboo	8	2				2.71	2.08	4.13	2.39	3.83	2.69	6.05	2.26	2.32	1.12	4.92	2.66	2.28	2.12
skank	taboo	5	1				3.27	1.91	4.61	2.21	3.55	2.55	5.51	2.34	2.40	1.08	4.49	2.42	3.64	2.50
slut	taboo	4	1				4.68	2.31	6.33	2.13	4.30	2.75	6.28	2.27	2.33	1.04	5.26	2.44	4.18	2.78
snatch	taboo	6	1				3.05	2.01	3.88	2.12	1.72	1.48	2.62	2.48	4.01	1.11	3.01	2.38	3.83	2.78
sodomize	taboo	8	3				2.03	1.63	3.15	2.09	3.00	2.71	5.12	2.84	2.52	1.31	4.62	2.80	3.45	2.92
spic	taboo	4	1				1.42	1.07	2.21	1.68	3.42	3.03	4.60	3.38	3.17	1.73	4.01	3.17	2.54	2.22
stupid	taboo	6	2	24	2.31	4.72	6.60	2.09	7.13	1.84	2.69	2.30	2.92	1.92	3.10	1.11	3.10	2.16	2.44	1.96
suck	taboo	4	1				6.16	2.25	6.59	2.22	2.13	1.68	3.53	2.24	3.37	1.38	3.88	2.31	3.68	2.89
testicles	taboo	9	3				3.22	2.30	4.38	2.39	1.74	1.49	4.01	2.25	4.46	1.04	3.88	2.39	6.70	2.58
tits	taboo	4	1				3.48	2.54	5.51	2.35	2.83	2.06	5.51	2.10	4.44	1.54	5.27	2.46	7.00	2.29
turd	taboo	4	1				2.32	1.67	3.40	2.02	2.27	1.58	3.96	2.10	3.40	1.44	3.04	2.14	5.51	2.92
twat	taboo	4	1				1.89	1.55	2.35	1.53	3.24	2.43	5.07	2.95	3.32	1.56	4.61	2.82	3.27	2.91
vagina	taboo	6	3	10	6.14	5.55	3.89	2.32	4.87	2.14	1.87	1.56	4.82	2.42	4.79	0.96	5.00	2.53	7.32	2.32
vibrator	taboo	8	3				2.55	1.59	4.00	1.86	2.30	1.71	5.39	2.32	4.17	1.33	5.01	2.49	6.55	2.40
whore	taboo	5	1	2	2.30	5.85	4.53	2.44	6.04	2.36	4.45	2.62	6.53	1.98	2.13	1.11	5.18	2.56	4.33	2.77
angel	pos lo ar	5	2	18	7.53	4.83	4.25	2.22	5.30	2.19	1.01	0.12	1.20	0.88	7.32	1.36	3.07	2.30	7.51	1.87
bath	pos lo ar	4	1	26	7.33	4.16	4.86	2.31	5.61	2.23	1.03	0.16	1.01	0.11	5.74	1.24	2.14	1.97	7.74	1.71
beauty	pos lo ar	6	2	71	7.82	4.95	5.96	2.03	6.92	1.91	1.01	0.12	1.03	0.16	7.34	1.44	3.86	2.58	5.49	2.58
bird	pos lo ar	4	1	31	7.27	3.17	5.22	2.46	5.73	2.39	1.09	0.61	1.03	0.23	5.42	0.89	1.84	1.60	8.31	1.20
breeze	pos lo ar	6	1	14	6.85	4.37	4.58	2.14	5.13	2.12	1.03	0.23	1.09	0.52	5.46	1.01	1.97	1.74	4.01	2.63
bunny	pos lo ar	5	2	1	7.24	4.06	4.06	2.30	4.77	2.27	1.01	0.11	1.00	0.00	5.84	1.20	2.25	1.81	8.39	1.07
cake	pos lo ar	4	1	9	7.26	5.00	5.21	2.07	5.82	2.08	1.00	0.00	1.00	0.00	6.08	1.29	3.38	2.49	8.54	0.94
capable	pos lo ar	7	3	66	7.16	5.08	5.22	2.30	5.62	2.17	1.03	0.16	1.03	0.23	6.17	1.19	1.81	1.42	1.96	1.80
carefree	pos lo ar	8	2	9	7.54	4.17	4.16	2.10	4.83	2.18	1.03	0.16	1.28	0.95	6.36	1.45	2.39	2.07	2.82	2.08
caress	pos lo ar	6	2	1	7.84	5.14	3.70	2.32	4.55	2.22	1.12	0.36	1.74	1.17	5.96	1.25	4.04	2.38	4.69	2.63
color	pos lo ar	5	2	141	7.02	4.73	6.11	2.09	6.36	2.15	1.00	0.00	1.00	0.00	5.43	0.90	2.08	1.84	5.67	3.00
